gym_id,pokemon_uid,last_scanned,deployment_time,cp_decayed
a418d8928bc942658c287c47a125adcf.16,10403193068452619074,"2018-02-20 12:20:53","2018-02-20 12:18:48",2981
a418d8928bc942658c287c47a125adcf.16,15907984216666363221,"2018-02-20 12:20:53","2018-02-20 09:44:34",788
a418d8928bc942658c287c47a125adcf.16,10861002096599313792,"2018-02-20 12:20:53","2018-02-20 01:22:17",2140
a418d8928bc942658c287c47a125adcf.16,11830468255883823460,"2018-02-20 12:20:53","2018-02-20 01:22:13",1519
d32a4483829c46bfabe6c32e6993f3ae.16,8913424781452152089,"2018-02-20 14:13:47","2018-02-20 12:16:51",1622
d32a4483829c46bfabe6c32e6993f3ae.16,8532302645118723936,"2018-02-20 14:13:47","2018-02-20 11:15:37",1749
d32a4483829c46bfabe6c32e6993f3ae.16,9751791236507632723,"2018-02-20 14:13:47","2018-02-19 22:14:16",1913
d32a4483829c46bfabe6c32e6993f3ae.16,15671853231750803982,"2018-02-20 14:13:47","2018-02-19 22:13:54",1753
0fb1453c310f4595a7e79368dc0da069.16,5019365287053012504,"2018-02-20 14:30:45","2018-02-20 14:29:28",1319
0fb1453c310f4595a7e79368dc0da069.16,10476024763934098238,"2018-02-20 14:30:45","2018-02-20 12:33:58",1840
0fb1453c310f4595a7e79368dc0da069.16,11421191512536858267,"2018-02-20 14:30:45","2018-02-20 12:30:14",2436
0fb1453c310f4595a7e79368dc0da069.16,2055401270923906907,"2018-02-20 14:30:45","2018-02-20 11:15:15",1583
0fb1453c310f4595a7e79368dc0da069.16,5872118429519768410,"2018-02-20 14:30:45","2018-02-20 11:07:48",2178
0fb1453c310f4595a7e79368dc0da069.16,5669733297781321294,"2018-02-20 14:30:45","2018-02-20 10:39:55",307
bdb5cf52a8644857844ac5af7e6e1ffc.16,5333099302931896515,"2018-02-20 14:55:10","2018-02-20 10:49:08",1429
bdb5cf52a8644857844ac5af7e6e1ffc.16,10555465999621796612,"2018-02-20 14:55:10","2018-02-20 10:45:28",104
72985951ba674deba9326ab9eda56760.16,16847427579194928185,"2018-02-20 15:07:50","2018-02-20 11:40:40",1636
72985951ba674deba9326ab9eda56760.16,2495900565235238195,"2018-02-20 15:07:50","2018-02-20 09:39:12",1220
355fa2dfe4274ca68cb8a8822aaac1a8.16,5974404535807416040,"2018-02-20 15:09:43","2018-02-20 05:03:08",475
355fa2dfe4274ca68cb8a8822aaac1a8.16,10673302664621368278,"2018-02-20 15:09:43","2018-02-20 01:27:16",179
355fa2dfe4274ca68cb8a8822aaac1a8.16,17093777837653182957,"2018-02-20 15:09:43","2018-02-20 01:12:25",646
355fa2dfe4274ca68cb8a8822aaac1a8.16,8361434137144566807,"2018-02-20 15:09:43","2018-02-20 00:50:02",405
355fa2dfe4274ca68cb8a8822aaac1a8.16,12861857557047343266,"2018-02-20 15:09:43","2018-02-19 23:17:49",442
355fa2dfe4274ca68cb8a8822aaac1a8.16,8191973332567232236,"2018-02-20 15:09:43","2018-02-19 21:53:36",597
b0bc2da4492948e9a63b374841c94882.11,12865514723475335437,"2018-02-20 15:11:41","2018-02-19 23:56:42",2106
b0bc2da4492948e9a63b374841c94882.11,3071858866807713508,"2018-02-20 15:11:41","2018-02-19 22:59:11",1596
b0bc2da4492948e9a63b374841c94882.11,3766937363761453382,"2018-02-20 15:11:41","2018-02-19 22:49:31",2080
b0bc2da4492948e9a63b374841c94882.11,14050542026328107019,"2018-02-20 15:11:41","2018-02-19 22:12:28",698
b0bc2da4492948e9a63b374841c94882.11,6259907333427424969,"2018-02-20 15:11:41","2018-02-19 21:59:22",2845
b0bc2da4492948e9a63b374841c94882.11,11371610543220769693,"2018-02-20 15:11:41","2018-02-19 21:59:01",2851
255644e5b50a42eca13c77250436029f.16,16884462424561016798,"2018-02-20 15:14:19","2018-02-20 15:13:49",2701
255644e5b50a42eca13c77250436029f.16,642547789717723478,"2018-02-20 15:14:19","2018-02-20 11:12:15",2173
255644e5b50a42eca13c77250436029f.16,18187984168787982866,"2018-02-20 15:14:19","2018-02-20 11:11:58",1878
fa2de6cfbf9848c3a10469df48636f4d.16,386815008840784425,"2018-02-20 15:17:46","2018-02-20 14:54:43",818
0286ca0efb62481780795316aa2f0e43.16,1165921586725025083,"2018-02-20 15:17:55","2018-02-20 15:16:11",2631
0286ca0efb62481780795316aa2f0e43.16,2362662945936392337,"2018-02-20 15:17:55","2018-02-20 15:15:43",2624
0286ca0efb62481780795316aa2f0e43.16,13051048293055075168,"2018-02-20 15:17:55","2018-02-20 11:07:59",1774
0286ca0efb62481780795316aa2f0e43.16,3323220176368360263,"2018-02-20 15:17:55","2018-02-20 11:06:26",2796
b80bbf223db04faa8b0122c45683942c.16,1230334251854809563,"2018-02-20 15:37:32","2018-02-20 15:36:14",1496
b80bbf223db04faa8b0122c45683942c.16,16823493716055664117,"2018-02-20 15:37:32","2018-02-20 13:38:05",1969
b80bbf223db04faa8b0122c45683942c.16,10482764775156692530,"2018-02-20 15:37:32","2018-02-20 13:36:52",2471
b80bbf223db04faa8b0122c45683942c.16,6537631278543138130,"2018-02-20 15:37:32","2018-02-20 09:42:24",2286
40ac99e1bc6a420dbaf6722b2608dba5.16,13739103278204922556,"2018-02-20 15:38:27","2018-02-20 15:37:26",1421
40ac99e1bc6a420dbaf6722b2608dba5.16,626403187309382681,"2018-02-20 15:38:27","2018-02-20 11:29:09",1861
38f2d91409bd4d01a2eb458673dcefe9.16,9290233427309098687,"2018-02-20 15:49:33","2018-02-20 15:00:08",2392
38f2d91409bd4d01a2eb458673dcefe9.16,18071007046208124082,"2018-02-20 15:49:33","2018-02-20 14:59:45",2731
1c440df2f085444caa360d06a63e49a0.16,8413441292204912495,"2018-02-20 15:54:52","2018-02-20 11:51:23",398
df179b66e3444d18ae16783a1c377acb.16,2185717787704940620,"2018-02-20 16:02:02","2018-02-20 12:53:45",2796
0c6793e0753d4a91b4c5b5918d8a743f.11,11786335562370370304,"2018-02-20 16:05:05","2018-02-20 16:04:33",739
0c6793e0753d4a91b4c5b5918d8a743f.11,3365660963298690155,"2018-02-20 16:05:05","2018-02-20 15:51:38",2265
0c6793e0753d4a91b4c5b5918d8a743f.11,1320483953666290908,"2018-02-20 16:05:05","2018-02-20 15:47:34",1707
0c6793e0753d4a91b4c5b5918d8a743f.11,12682618862621345469,"2018-02-20 16:05:05","2018-02-20 15:45:24",1741
0c6793e0753d4a91b4c5b5918d8a743f.11,4552656791219296176,"2018-02-20 16:05:05","2018-02-20 15:13:18",2780
0c6793e0753d4a91b4c5b5918d8a743f.11,10899382669542313365,"2018-02-20 16:05:05","2018-02-20 14:24:17",2736
a95b698c72ec494e86b2cb8ebdcbf0c5.16,12694194646360059716,"2018-02-20 16:11:35","2018-02-20 13:51:33",2276
33fc9aa44c844314a85d60df2a1194d8.16,5322522399565497918,"2018-02-20 16:11:36","2018-02-20 09:03:23",1164
828db0e5a523405987aa8d6c4c247e0d.16,11135666052727266226,"2018-02-20 16:14:35","2018-02-20 12:22:48",1658
828db0e5a523405987aa8d6c4c247e0d.16,13075607157690052731,"2018-02-20 16:14:35","2018-02-20 09:46:32",716
828db0e5a523405987aa8d6c4c247e0d.16,2628270968881992545,"2018-02-20 16:14:35","2018-02-20 01:27:10",1301
828db0e5a523405987aa8d6c4c247e0d.16,2602164632860466174,"2018-02-20 16:14:35","2018-02-20 01:26:07",882
0471fd54e26349cbb805a9e7ff4772b8.16,16513138308888929748,"2018-02-20 16:25:36","2018-02-20 16:23:58",2541
0471fd54e26349cbb805a9e7ff4772b8.16,13670139799081426864,"2018-02-20 16:25:36","2018-02-20 15:23:42",2647
0471fd54e26349cbb805a9e7ff4772b8.16,1344257539413908982,"2018-02-20 16:25:36","2018-02-20 12:29:02",1904
0471fd54e26349cbb805a9e7ff4772b8.16,13360246163766340417,"2018-02-20 16:25:36","2018-02-20 12:17:11",2273
0471fd54e26349cbb805a9e7ff4772b8.16,5746876009403085145,"2018-02-20 16:25:36","2018-02-20 10:35:26",1269
0471fd54e26349cbb805a9e7ff4772b8.16,7119565742936918883,"2018-02-20 16:25:36","2018-02-20 10:26:42",1305
adcc7f12b03445a9b3e10a01ca7e4ded.16,6135890651392362049,"2018-02-20 16:32:40","2018-02-20 14:28:07",715
