gym_id,level,spawn,start,end,pokemon_id,cp,move_1,move_2,last_scanned
0286ca0efb62481780795316aa2f0e43.16,1,"2018-02-20 14:41:36","2018-02-20 15:41:36","2018-02-20 16:26:36",129,1165,231,133,"2018-02-20 16:24:39"
0471fd54e26349cbb805a9e7ff4772b8.16,2,"2018-02-20 14:32:29","2018-02-20 15:32:29","2018-02-20 16:17:29",302,8266,238,65,"2018-02-20 16:17:06"
0c6793e0753d4a91b4c5b5918d8a743f.11,2,"2018-02-20 12:11:25","2018-02-20 13:11:25","2018-02-20 13:56:25",303,9403,202,20,"2018-02-20 13:55:59"
0fb1453c310f4595a7e79368dc0da069.16,1,"2018-02-20 14:26:56","2018-02-20 15:26:56","2018-02-20 16:11:56",333,2766,211,39,"2018-02-20 16:11:40"
1082da773a3f4d30b5de4ded03d55422.16,3,"2018-02-19 14:34:53","2018-02-19 15:34:53","2018-02-19 16:19:53",221,13663,217,95,"2018-02-19 16:14:15"
1c440df2f085444caa360d06a63e49a0.16,2,"2018-02-20 15:20:51","2018-02-20 16:20:51","2018-02-20 17:05:51",303,9403,263,74,"2018-02-20 17:05:51"
2339f669b7b14ea9800b9df89eb46694.16,2,"2018-02-20 08:41:37","2018-02-20 09:41:37","2018-02-20 10:26:37",87,9216,266,248,"2018-02-20 10:26:20"
241618fc3fd847eab588c938b9b03f25.16,4,"2018-02-20 16:19:55","2018-02-20 17:19:55","2018-02-20 18:04:55",248,34707,202,32,"2018-02-20 17:28:17"
255644e5b50a42eca13c77250436029f.16,5,"2018-02-20 13:09:32","2018-02-20 14:09:32","2018-02-20 14:54:32",384,45468,255,277,"2018-02-20 14:54:08"
2c36739bd6be4effb2d28dcf1da246cc.16,5,"2018-02-20 08:24:22","2018-02-20 09:24:22","2018-02-20 10:09:22",384,45468,255,277,"2018-02-20 10:09:05"
2ec6849344d94a348d35933db85fccc9.16,4,"2018-02-20 14:05:10","2018-02-20 15:05:10","2018-02-20 15:50:10",160,27740,202,39,"2018-02-20 15:49:22"
2f60c7bc597643e08041dabecc4a16a2.16,2,"2018-02-19 20:41:40","2018-02-19 21:41:40","2018-02-19 22:26:40",91,15678,217,107,"2018-02-19 22:26:06"
33fc9aa44c844314a85d60df2a1194d8.16,4,"2018-02-20 12:06:09","2018-02-20 13:06:09","2018-02-20 13:51:09",359,26262,226,78,"2018-02-20 13:42:59"
355fa2dfe4274ca68cb8a8822aaac1a8.16,4,"2018-02-20 15:08:44","2018-02-20 16:08:44","2018-02-20 16:53:44",160,27740,283,39,"2018-02-20 16:53:31"
38f2d91409bd4d01a2eb458673dcefe9.16,1,"2018-02-20 13:04:52","2018-02-20 14:04:52","2018-02-20 14:49:52",361,2825,244,111,"2018-02-20 14:49:13"
3e7231af60ba4ba29a675c055406b46b.16,1,"2018-02-20 15:11:03","2018-02-20 16:11:03","2018-02-20 16:56:03",129,1165,231,133,"2018-02-20 16:55:51"
40ac99e1bc6a420dbaf6722b2608dba5.16,1,"2018-02-20 13:39:13","2018-02-20 14:39:13","2018-02-20 15:24:13",361,2825,244,70,"2018-02-20 15:20:12"
4175c939c96a46d8b326d7634292a226.16,2,"2018-02-20 15:41:33","2018-02-20 16:41:33","2018-02-20 17:26:33",302,8266,238,66,"2018-02-20 17:26:18"
49096f45a26e4e53938248cf6c37ad03.16,4,"2018-02-20 14:27:48","2018-02-20 15:27:48","2018-02-20 16:12:48",248,34707,266,279,"2018-02-20 16:12:46"
52732cd64bf04752b8fee93c3b7e5a13.16,2,"2018-02-20 17:16:20","2018-02-20 18:16:20","2018-02-20 19:01:20",NULL,NULL,NULL,NULL,"2018-02-20 17:28:18"
52ac1cf211b24288addcde1a5f60897c.16,5,"2018-02-20 14:16:01","2018-02-20 15:16:01","2018-02-20 16:01:01",384,45468,255,62,"2018-02-20 16:00:53"
56655857450a468ca7875eb35ac86ee2.16,2,"2018-02-20 10:39:29","2018-02-20 11:39:29","2018-02-20 12:24:29",302,8266,238,280,"2018-02-20 12:24:27"
60e877cc2e2147b4be49f6e12478df3c.16,5,"2018-02-20 10:29:17","2018-02-20 11:29:17","2018-02-20 12:14:17",384,45468,253,45,"2018-02-20 12:14:15"
72985951ba674deba9326ab9eda56760.16,2,"2018-02-20 15:07:38","2018-02-20 16:07:38","2018-02-20 16:52:38",303,9403,202,20,"2018-02-20 16:49:47"
828db0e5a523405987aa8d6c4c247e0d.16,5,"2018-02-20 16:13:32","2018-02-20 17:13:32","2018-02-20 17:58:32",384,45468,255,45,"2018-02-20 17:27:49"
8c2b38834cab46829b30c374a653eddc.16,1,"2018-02-20 10:38:19","2018-02-20 11:38:19","2018-02-20 12:23:19",320,3369,231,105,"2018-02-20 12:23:04"
940fb99da7db4023bcbe9d98b2ff98cd.16,1,"2018-02-20 15:14:40","2018-02-20 16:14:40","2018-02-20 16:59:40",320,3369,231,105,"2018-02-20 16:58:43"
a418d8928bc942658c287c47a125adcf.16,3,"2018-02-20 11:38:10","2018-02-20 12:38:10","2018-02-20 13:23:10",221,13663,217,32,"2018-02-20 13:22:46"
a95b698c72ec494e86b2cb8ebdcbf0c5.16,1,"2018-02-20 15:12:21","2018-02-20 16:12:21","2018-02-20 16:57:21",129,1165,231,133,"2018-02-20 16:57:18"
