,gym_id,level,spawn,start,end,pokemon_id,cp,move_1,move_2,last_scanned
0,0286ca0efb62481780795316aa2f0e43.16,1,2018-02-20 14:41:36,2018-02-20 15:41:36,2018-02-20 16:26:36,129.0,1165.0,231.0,133.0,2018-02-20 16:24:39
1,0471fd54e26349cbb805a9e7ff4772b8.16,2,2018-02-20 14:32:29,2018-02-20 15:32:29,2018-02-20 16:17:29,302.0,8266.0,238.0,65.0,2018-02-20 16:17:06
2,0c6793e0753d4a91b4c5b5918d8a743f.11,1,2018-02-20 18:40:07,2018-02-20 19:40:07,2018-02-20 20:25:07,361.0,2825.0,244.0,111.0,2018-02-20 20:24:53
3,0fb1453c310f4595a7e79368dc0da069.16,1,2018-02-20 14:26:56,2018-02-20 15:26:56,2018-02-20 16:11:56,333.0,2766.0,211.0,39.0,2018-02-20 16:11:40
4,1082da773a3f4d30b5de4ded03d55422.16,1,2018-02-20 17:39:56,2018-02-20 18:39:56,2018-02-20 19:24:56,320.0,3369.0,230.0,131.0,2018-02-20 19:24:24
5,1c440df2f085444caa360d06a63e49a0.16,2,2018-02-20 18:25:25,2018-02-20 19:25:25,2018-02-20 20:10:25,,,,,2018-02-20 19:09:08
6,2339f669b7b14ea9800b9df89eb46694.16,2,2018-02-20 08:41:37,2018-02-20 09:41:37,2018-02-20 10:26:37,87.0,9216.0,266.0,248.0,2018-02-20 10:26:20
7,241618fc3fd847eab588c938b9b03f25.16,2,2018-02-20 19:19:26,2018-02-20 20:19:26,2018-02-20 21:04:26,303.0,9403.0,202.0,74.0,2018-02-20 21:04:15
8,255644e5b50a42eca13c77250436029f.16,2,2018-02-20 20:37:48,2018-02-20 21:37:48,2018-02-20 22:22:48,302.0,8266.0,238.0,66.0,2018-02-20 22:22:13
9,2c36739bd6be4effb2d28dcf1da246cc.16,5,2018-02-20 08:24:22,2018-02-20 09:24:22,2018-02-20 10:09:22,384.0,45468.0,255.0,277.0,2018-02-20 10:09:05
10,2ec6849344d94a348d35933db85fccc9.16,4,2018-02-20 14:05:10,2018-02-20 15:05:10,2018-02-20 15:50:10,160.0,27740.0,202.0,39.0,2018-02-20 15:49:22
11,2f60c7bc597643e08041dabecc4a16a2.16,3,2018-02-20 18:02:17,2018-02-20 19:02:17,2018-02-20 19:47:17,221.0,13663.0,244.0,32.0,2018-02-20 19:47:09
12,33fc9aa44c844314a85d60df2a1194d8.16,1,2018-02-20 18:13:32,2018-02-20 19:13:32,2018-02-20 19:58:32,129.0,1165.0,231.0,133.0,2018-02-20 19:42:46
13,355fa2dfe4274ca68cb8a8822aaac1a8.16,4,2018-02-20 15:08:44,2018-02-20 16:08:44,2018-02-20 16:53:44,160.0,27740.0,283.0,39.0,2018-02-20 16:53:31
14,38f2d91409bd4d01a2eb458673dcefe9.16,2,2018-02-20 19:35:50,2018-02-20 20:35:50,2018-02-20 21:20:50,303.0,9403.0,263.0,88.0,2018-02-20 21:18:48
15,3e7231af60ba4ba29a675c055406b46b.16,3,2018-02-20 20:26:15,2018-02-20 21:26:15,2018-02-20 22:11:15,184.0,8989.0,237.0,88.0,2018-02-20 22:11:15
16,40ac99e1bc6a420dbaf6722b2608dba5.16,1,2018-02-20 13:39:13,2018-02-20 14:39:13,2018-02-20 15:24:13,361.0,2825.0,244.0,70.0,2018-02-20 15:20:12
17,4175c939c96a46d8b326d7634292a226.16,2,2018-02-20 15:41:33,2018-02-20 16:41:33,2018-02-20 17:26:33,302.0,8266.0,238.0,66.0,2018-02-20 17:26:18
18,49096f45a26e4e53938248cf6c37ad03.16,5,2018-02-21 08:02:13,2018-02-21 09:02:13,2018-02-21 09:47:13,,,,,2018-02-21 08:03:28
19,52732cd64bf04752b8fee93c3b7e5a13.16,2,2018-02-20 17:16:20,2018-02-20 18:16:20,2018-02-20 19:01:20,91.0,15678.0,218.0,248.0,2018-02-20 19:00:23
20,52ac1cf211b24288addcde1a5f60897c.16,4,2018-02-20 18:43:56,2018-02-20 19:43:56,2018-02-20 20:28:56,131.0,21768.0,218.0,284.0,2018-02-20 20:28:55
21,56655857450a468ca7875eb35ac86ee2.16,2,2018-02-20 10:39:29,2018-02-20 11:39:29,2018-02-20 12:24:29,302.0,8266.0,238.0,280.0,2018-02-20 12:24:27
22,60e877cc2e2147b4be49f6e12478df3c.16,5,2018-02-20 10:29:17,2018-02-20 11:29:17,2018-02-20 12:14:17,384.0,45468.0,253.0,45.0,2018-02-20 12:14:15
23,72985951ba674deba9326ab9eda56760.16,2,2018-02-20 15:07:38,2018-02-20 16:07:38,2018-02-20 16:52:38,303.0,9403.0,202.0,20.0,2018-02-20 16:49:47
24,828db0e5a523405987aa8d6c4c247e0d.16,4,2018-02-20 20:39:31,2018-02-20 21:39:31,2018-02-20 22:24:31,306.0,33458.0,266.0,268.0,2018-02-20 22:23:02
25,8c2b38834cab46829b30c374a653eddc.16,3,2018-02-20 18:04:17,2018-02-20 19:04:17,2018-02-20 19:49:17,184.0,8989.0,241.0,88.0,2018-02-20 19:49:20
26,940fb99da7db4023bcbe9d98b2ff98cd.16,3,2018-02-20 18:44:45,2018-02-20 19:44:45,2018-02-20 20:29:45,124.0,18296.0,218.0,60.0,2018-02-20 20:28:37
27,a418d8928bc942658c287c47a125adcf.16,3,2018-02-20 11:38:10,2018-02-20 12:38:10,2018-02-20 13:23:10,221.0,13663.0,217.0,32.0,2018-02-20 13:22:46
28,a95b698c72ec494e86b2cb8ebdcbf0c5.16,1,2018-02-20 19:02:30,2018-02-20 20:02:30,2018-02-20 20:47:30,333.0,2766.0,263.0,84.0,2018-02-20 20:47:29
29,adcc7f12b03445a9b3e10a01ca7e4ded.16,5,2018-02-20 16:31:21,2018-02-20 17:31:21,2018-02-20 18:16:21,384.0,45468.0,255.0,62.0,2018-02-20 18:15:55
30,b0bc2da4492948e9a63b374841c94882.11,2,2018-02-20 18:14:04,2018-02-20 19:14:04,2018-02-20 19:59:04,302.0,8266.0,238.0,66.0,2018-02-20 19:58:56
31,b80bbf223db04faa8b0122c45683942c.16,1,2018-02-20 18:02:54,2018-02-20 19:02:54,2018-02-20 19:47:54,129.0,1165.0,231.0,133.0,2018-02-20 19:47:54
32,cbad102126ca4a88aa7f9aa5bec84cbb.16,1,2018-02-20 17:23:35,2018-02-20 18:23:35,2018-02-20 19:08:35,129.0,1165.0,231.0,133.0,2018-02-20 19:08:32
33,d32a4483829c46bfabe6c32e6993f3ae.16,1,2018-02-20 19:35:30,2018-02-20 20:35:30,2018-02-20 21:20:30,129.0,1165.0,231.0,133.0,2018-02-20 21:18:32
34,d7c4c6813ad5494d823bba29bc3bae80.16,3,2018-02-20 20:26:27,2018-02-20 21:26:27,2018-02-20 22:11:27,124.0,18296.0,218.0,254.0,2018-02-20 22:11:16
35,df179b66e3444d18ae16783a1c377acb.16,1,2018-02-20 19:22:43,2018-02-20 20:22:43,2018-02-20 21:07:43,333.0,2766.0,263.0,45.0,2018-02-20 21:06:53
36,e50a42dcb9084addbdcb9a50b2fdad09.16,1,2018-02-20 18:18:29,2018-02-20 19:18:29,2018-02-20 20:03:29,361.0,2825.0,244.0,70.0,2018-02-20 20:03:23
37,eef58c8b131e4e0b842611a1850e63dc.16,1,2018-02-20 18:43:35,2018-02-20 19:43:35,2018-02-20 20:28:35,361.0,2825.0,264.0,254.0,2018-02-20 20:26:23
38,fa2de6cfbf9848c3a10469df48636f4d.16,1,2018-02-20 17:25:04,2018-02-20 18:25:04,2018-02-20 19:10:04,129.0,1165.0,231.0,133.0,2018-02-20 19:09:57
