gym_id,name,description,url,last_scanned
0286ca0efb62481780795316aa2f0e43.16,"Caixa D'água da Gotuzzo","Caixa d'água do SANEP que abastece parte do Bairro Fragata.",http://lh3.googleusercontent.com/mLkhA_wOkWE5VT7EeaRYO33TpcQn_CoBXqh5wdhNNebhU8cMhwlYuOJjhv7N3hBVWM7mME3pb2GcKQ9hZPY44w,"2018-02-18 12:23:08"
0471fd54e26349cbb805a9e7ff4772b8.16,"Terminal Rodoviário de Pelotas",,http://lh3.ggpht.com/RP2R7DXsJ32shbD3yK-7Jt4CJ1RXWCkGM8po7ohbRvuTvJ9l8-QR-WJtejtPxSaIEtnPWjBSCnIQspdQ-9HyQQ,"2018-02-18 10:35:37"
0c6793e0753d4a91b4c5b5918d8a743f.11,"Caixa d'Água Brilhante",,http://lh4.ggpht.com/9ZbtSanVv2MqDrUHEhIcmVJTbNJB7LE8ZrfUVaBZw_G0cki9v2eAVbm0p83l1oH7VOdpznlboNqniSIg0RCZuVYcrhla6F2BUNycE7C5FNOAJgjL,"2018-02-18 11:24:29"
0fb1453c310f4595a7e79368dc0da069.16,"Igreja Santo Antônio","Comunidade católica santo Antônio
",http://lh3.googleusercontent.com/yYqktn0Q48N_4GKIjaFIOK4vDuoZZ_j3f8yioIYwtJSK-9gqd4W7-XG7K1O3c3PIJnqKehIvTxQTyLPP5mQ,"2018-02-18 13:59:04"
1082da773a3f4d30b5de4ded03d55422.16,"Velas ao Vento","Escultura em ferro “Velas ao Vento”, do arquiteto Fernando Sparenberg.",http://lh3.ggpht.com/qdkKJ-2AmWJRosw76M_4VFFUY_z7oXkTaZaikw0IoNtT8O8LK0GwJFU5lXPOuUf83RpgnzsgxBAD8HzuF1Rw,"2018-02-18 12:58:28"
1c440df2f085444caa360d06a63e49a0.16,"Comunidade Catolica Nossa Sra. De Lourdes",,http://lh3.googleusercontent.com/GNKHIYR3ujGkD_irPwqkGpqgDjgsJZ_KpPCPwC3BrJIVPzzL2HTmYtGI5AuCRq1S7jkyiev7oysYHy2qrOw,"2018-02-18 13:45:49"
2339f669b7b14ea9800b9df89eb46694.16,"Formiga Da Churrascaria Lobão",,http://lh5.ggpht.com/brBiIo9WxXo_qPzO80V3JDhzvAZpWCd4GxXmrEBNBolltnQCAfWjZxSMEvZtFp0VW4lRLpL3koTZbfJ45wEwrA,"2018-02-18 12:07:49"
241618fc3fd847eab588c938b9b03f25.16,"Colégio São José",,http://lh5.ggpht.com/pQKyt3YEHFShpjohHQu_kVi_LAfOD2oeRw_dyfGVz9SdsnN0_J1Jb9SYUYV34O1JaIQ1K2IBButmbVQhiU4,"2018-02-18 13:28:11"
255644e5b50a42eca13c77250436029f.16,"Igreja Mistérios Da Fé",,http://lh3.googleusercontent.com/dJc4snTfpgGOGSlxDSVM2KmNxI_B0WI7AFFHKncxj-9TsuxSKqyokKbD_pV4ktnJBUt_sWOgSx3zP9bAJ1ui,"2018-02-18 08:03:37"
2c36739bd6be4effb2d28dcf1da246cc.16,Graffiti,Grafiti,http://lh6.ggpht.com/9ESD1lq4PeSj76wM01ytXt-Uv6-8Ius4ZEIUshdtM8P34fxbzzkaBxSCxrLISS91DGdy369JdM0EpTiF6UrD,"2018-02-18 13:31:50"
