pokemon_uid,pokemon_id,cp,trainer_name,num_upgrades,move_1,move_2,height,weight,stamina,stamina_max,cp_multiplier,additional_cp_multiplier,iv_defense,iv_stamina,iv_attack,last_seen,form,costume
895052754133409,9,1402,LucasBozzatoKND,4,202,107,1.62716,110.592,134,134,0.393088,0,14,14,11,"2018-01-29 23:19:10",NULL,NULL
1340758924619554,16,411,Charmilh0,0,221,121,0.31705,2.41954,106,106,0.59056,0,5,10,5,"2018-02-17 13:13:39",0,0
11201188872084804,242,2288,canilhao,2,234,86,1.46644,52.3346,336,336,0.32606,0,10,8,6,"2018-02-09 17:10:36",0,0
21537214884512127,143,2261,Henriquehbx18,0,234,31,2.6111,630.093,228,228,0.354763,0,15,3,7,"2018-02-17 15:57:39",0,0
24411133933779062,196,2786,AntonellaLowen,64,235,275,0.890219,22.0363,128,128,0.444895,0,15,15,15,"2018-02-17 15:25:45",0,0
25968037194301391,199,1780,Diegobx28,0,230,40,1.54064,49.5981,124,124,0.304613,0,8,14,12,"2018-02-02 18:46:17",NULL,NULL
28082922978154438,305,419,PedroAldrigui,0,266,131,0.752051,76.2741,62,62,0.254444,0,6,5,12,"2018-02-02 16:46:57",NULL,NULL
30366040688213637,134,1857,MiguelCarsousa,7,230,107,0.92258,24.0277,164,164,0.317073,0,1,0,10,"2018-01-29 22:24:18",NULL,NULL
35071430739240056,134,2086,fettCataTau,27,230,58,0.918555,10.7769,204,204,0.371583,0,9,15,15,"2018-02-16 09:42:52",0,0
37774486027989751,149,3230,Raaquelvianna,34,253,122,2.2179,182.363,134,134,0.343187,0,8,14,8,"2018-02-17 18:04:00",0,0
49469902949303245,1,685,Bilafirefighter,0,214,90,0.659076,5.05794,86,86,0.43478,0,0,10,13,"2018-02-02 20:23:26",NULL,NULL
58225782283758917,212,1869,AntonellaLowen,0,229,51,2.24073,125.467,148,148,0.481098,0,7,14,4,"2018-01-31 10:01:14",NULL,NULL
60657447694765450,38,1636,Felicitty,4,269,270,1.34369,30.5624,102,102,0.325124,0,13,11,15,"2018-02-14 12:14:39",0,0
64915418013957203,214,1587,LoboTilt02,0,261,22,1.45982,49.8738,122,122,0.356424,0,9,12,7,"2018-02-10 17:40:32",0,0
69698370615949759,73,1361,MLCrochemore,1,224,40,1.51958,43.4505,158,158,0.451509,0,13,15,12,"2018-02-13 21:09:09",0,0
76914021213837546,54,12,VaiPraDeus,0,234,28,0.722225,10.1911,20,20,0.0704653,0,9,12,8,"2018-02-17 15:45:22",0,0
78122165349513807,149,3224,JulianoTimm,27,239,122,2.2599,189.426,230,230,0.596227,0,15,12,15,"2018-02-17 22:11:10",0,0
82955612378153900,286,1978,Kairog,0,271,90,1.1581,37.9331,158,158,0.639663,0,15,5,14,"2018-02-12 18:10:18",0,0
96650474742399145,242,2691,RafaeIR,0,222,86,1.29188,28.9449,498,498,0.479399,0,13,11,8,"2018-02-10 18:56:20",0,0
98129939430597368,143,2739,RAM0SR,0,234,268,2.85606,852.024,278,278,0.417978,0,6,14,10,"2018-02-10 11:19:45",0,0
106722258037809837,6,2235,MrDarth78,0,255,83,1.98128,127.12,158,158,0.495967,0,8,5,8,"2018-02-08 02:49:45",0,0
107110590305468128,217,1865,TatiCassais,0,228,245,1.7544,127.989,234,234,0.619034,0,8,10,10,"2018-02-02 00:53:41",NULL,NULL
113020632187682131,149,3258,rodeghiero,30,239,122,2.60609,336.762,132,132,0.340642,0,12,14,12,"2018-02-07 12:26:51",0,0
